dishId,cluster,ingredientName
15216,1,"['鴻喜菇', '九層塔', '薑', '紹興酒']"
15218,4,"['地瓜', '里肌肉', '紹興酒', '蒜頭', '蔥']"
15227,0,"['吐司', '雞蛋', '牛奶', '火腿', '起司']"
15235,4,"['蝦子', '蔥', '薑', '紹興酒']"
15239,4,"['棒棒腿', '杏鮑菇', '木耳', '薑', '蔥', '香菜']"
15243,3,['米']
15246,0,"['地瓜', '低筋麵粉', '牛奶', '雞蛋', '起司']"
15264,2,"['年糕', '白菜', '豬肉', '蒜頭', '蔥', '紅蘿蔔', '紹興酒']"
15275,1,"['排骨', '玉米', '杏鮑菇', '香菜']"
15279,4,"['芋頭', '蔥', '香菜', '丁香魚', '太白粉', '香蒜粒']"
15281,3,"['銀耳', '紅棗']"
15283,1,"['番茄', '蝦子', '洋蔥', '酪梨', '檸檬']"
15287,4,"['木耳', '玉米筍', '豬肉', '雞蛋', '蔥', '薑', '紹興酒']"
15288,4,"['豬絞肉', '蔥', '傳統豆腐', '太白粉']"
15290,1,"['蝦子', '九層塔', '蒜頭']"
15293,0,"['低筋麵粉', '泡打粉', '薑', '雞蛋', '檸檬']"
15295,4,"['羊肉', '蔥', '蒜頭', '太白粉', '高湯', '紹興酒']"
15296,2,"['紅蘿蔔', '花椰菜', '香菜', '洋菇']"
15297,4,"['蝦子', '蒜頭', '蔥', '紹興酒']"
15310,4,"['蓮藕', '豬絞肉', '香菇', '芹菜', '雞蛋', '青江菜', '紅蘿蔔', '蔥', '太白粉', '地瓜']"
15311,1,"['豬絞肉', '青江菜', '餛飩', '雞蛋']"
15315,1,"['番茄', '起司']"
15334,2,"['番茄', '蒜頭', '洋蔥', '香菜']"
15335,0,"['雞蛋', '低筋麵粉', '泡打粉', '香蕉']"
15350,3,"['豬五花肉', '紹興酒']"
15353,2,"['豬絞肉', '番茄', '番茄汁', '紅酒', '蒜頭', '洋蔥']"
15364,4,"['茄子', '豬絞肉', '蒜頭', '蔥']"
15367,2,"['太白粉', '烏龍麵', '高麗菜', '紅蘿蔔', '洋蔥', '蘆筍', '蔥', '魚板', '竹輪', '豬肉', '鰹魚片']"
15377,0,"['牛奶', '檸檬', '雞蛋', '玉米粉']"
15378,1,"['豬五花肉', '蒜頭', '高粱']"
